sort code,Generic Name,Brand Name,Target/MOA,class,MW,Dose,Dose Unit,Route,infusion,dose schedule,Cmax        (uM),Cmax (mol/liter),Cmax          (g/l),Cmax            (raw units),Tmax,T1/2 (raw units),T1/2  (Days),AUC         (raw units),AUC  (ug•hr/ml),Cl,Vss,Reference,Reference PubMed,Reference URL,Drug Product Label URL,Initial U.S. approval,Indications,Notes
20,Ipilimumab,Yervoy ,CTLA-4,mAb: human IgG1 kappa,148000,3,mg/kg,IV,90 min,q. 3 wk,0.5473,5.47E-07,0.081,81 ug/ml,-,-,-,-,-,-,-,"J Clin Oncol 2005, 23: 6043-6053",http://www.ncbi.nlm.nih.gov/pubmed/16087944,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1473965/,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Ipilimumab,2011,"Melanoma, metastatic  unresectable",
21,Necitumumab,Portrazza,EGFR,mAb: human IgG1 kappa,144800,800,mg,IV,60 min,-,3.51519,3.52E-06,0.509,509 ug/ml,-,125 h,5.21,67821  ug•hr/ml,67821,12.9 ml/h,-,"Clin Cancer Res 2010, 16(6); 1915–23",http://www.ncbi.nlm.nih.gov/pubmed/20197484,http://clincancerres.aacrjournals.org/content/16/18/4681,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Necitumumab,2015,Lung (NSCLC): metastatic squamous non-small cell lung cancer ,not indicated for treatment of non-squamous NSCLC.
22,Nivolumab,Opdivo,PD-1 receptor,mAb: human IgG4,146221,3,mg/kg,IV,60 min,q. 2 wk,0.41034,4.10E-07,0.06,60 ug/ml,3.1 h,17 d ,17,15813 ug•hr/ml,15813,0.19 ml/hr/kg,112.7 ml/kg,FDA BLA 125554: Clinical Pharmacology and Biopharmaceutics Review,-, http://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/125554Orig1s000ClinPharmR.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Nivolumab,2014,"Melanoma, metastatic  unresectable;  metastatic non-small cell lung cancer (NSCLC); advanced renal cell carcinoma; classical Hodgkin lymphoma (cHL) that has relapsed or progressed after autologous hematopoietic stem cell transplantation (HSCT) and post-transplantation brentuximab vedotin (Adcetris). Squamous cell carcinoma of the head and neck (SCCHN);  urothelial carcinoma, locally advanced or metastatic","on repeated dosing (Q2wk, ninth dose), Cmax is 132 ug/ml, AUC is 30640 ug•hr/ml; recommended dose changed to 240 mg q. 2 weeks (flat dosing) on 09.15.16."
23,Obinutuzumab,Gazyva,CD20,"mAb: humanized IgG1, glycoengineered",146100,1000,mg,IV,see label,q. 1wk X3,3.7577,3.76E-06,0.549,549 ug/ml,-,28.4 d,28.4,8782 ug•day/ml,366,0.094 L/d,3.8 L,FDA BLA 125486: Clinical Pharmacology and Biopharmaceutics Review;  see also Drug Product Label,-,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2013/125486Orig1s000ClinPharmR.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Obinutuzumab,2013,Leukemia: Chronic lymphocytic leukemia (CLL);  Lymphoma: follicular lymphoma,combination with chlorambucil for CLL.  PK parameters from steady state.
24,Ofatumumab,Arzerra ,CD20,mAb: human IgG1 kappa,146100,2000,mg,IV,see label,-,10.14374,1.01E-05,1.482,1482 mg/L,-,15.8 d,15.8,674463 mg•hr/L,674463,9.5 ml/h,5127 ml,"Blood 2009, 114(22): Abst 3433",-,http://www.bloodjournal.org/content/114/22/3433,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Ofatumumab,2009,Leukemia: Chronic Lymphocytic Leukemia,complex infusion schedule; see label
25,Olaratumab,Lartruvo,PDGFR-α ,mAb: human IgG1,154000,15,mg/kg,IV,60 min,q. 1wk X2,3.097,3.10E-06,0.477,477 ug/ml,2.53 h,7.21 d,7.21,42400 ug•hr/ml,42400,0.0156 L/h,3.01 L,"Cancer Chemother Pharmacol 2014, 73:595-604.",https://www.ncbi.nlm.nih.gov/pubmed/24452395,http://link.springer.com/article/10.1007%2Fs00280-014-2389-9,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Olaratumab,2016,Sarcoma: soft tissue sarcoma,
26,Oprelvekin,Neumega,IL-11,rec human cytokine,19000,50,ug/kg,SC,-,-,0.001,0.000000001,0.000019,19.0 ng/ml,2.7 h,8.1 h,0.3375,242 ng•hr/ml,0.242,2.2 ml/min/kg,112 ml/kg,"Br J Clin Pharmacol. 1997, 43(6):571-8.",http://www.ncbi.nlm.nih.gov/pubmed/9205816,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2042783/,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Oprelvekin,1997,Thrombocytopenia: prevention of severe thrombocytopenia and the reduction of the need for platelet transfusions following myelosuppressive chemotherapy in adult patients with nonmyeloid malignancies,
27,Palifermin  ,Kepivance ,KGF,rec human protein,16193,90,ug/kg,IV,bolus,-,0.12228,1.22E-07,0.00198,1980 ng/ml,-,4.71 h,0.196,232 ng•hr/ml,0.232,406 ml/h/kg,1540 ml/kg,J Clin Pharmacol 2006;46:1460-1468,http://www.ncbi.nlm.nih.gov/pubmed/17101745,http://onlinelibrary.wiley.com/doi/10.1177/0091270006292705/abstract,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Palifermin,2004,decrease the incidence and duration of severe oral mucositis in patients with hematologic malignancies receiving myelotoxic therapy requiring hematopoietic stem cell support.,for the treatment of radiotherapy or chemotherapy related mucositis in cancer patients
28,Panitumumab,Vectibix ,EGFR,mAb: human IgG2,147000,6,mg/kg,IV,60 min,q. 2 wk,1.44898,1.45E-06,0.213,213 ug/ml,7.5 d,-,-,1306 ug•day/ml,54.4,4.9 mL/kg/day,-,Drug Product Label,-,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/125147s200lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Panitumumab,2006,"Colorectal, metastatic",
29,Pegaspargase,Oncaspar,asparagine,"Enzyme: asperaginase, pegylated",39500,2500,IU/m2,IV,1-2 hr,q. 2 wk,0.3574,3.57E-07,0.0141,1.2 IU/ml,-,7 d,7,-,-,-,2.43 L/m2,"J Pediatr Hematol Oncol 2007, 29: 239–247",http://www.ncbi.nlm.nih.gov/pubmed/17414566,http://journals.lww.com/jpho-online/pages/articleviewer.aspx?year=2007&issue=04000&article=00007&type=abstract,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Pegaspargase,1994,Leukemia: Acute Lymphoblastic Leukemia (ALL),85 IU/mg protein
30,Pegfilgrastim,Neulasta,G-CSF,"rec human cytokine, pegylated",39000,100,ug/kg,SC,-,-,0.00587,5.87E-09,0.000229,229 ng/ml,48 h,21.2 h,0.883,29300 ng•hr/ml,29.3,-,-,"J Clin Oncol 2010, 28: 1329-1336",http://www.ncbi.nlm.nih.gov/pubmed/20142595,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2834494/,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Pegfilgrastim,2002,"decrease the incidence of infection, as manifested by febrile neutropenia, in patients with non-myeloid malignancies receiving myelosuppressive anti-cancer drugs associated with a clinically significant incidence of febrile neutropenia",
31,Peginterferon alfa-2b,PEG-Intron,interferon receptor 2,"rec human cytokine, pegylated",32000,6,ug/kg,SC,-,-,0.00014,1.38E-10,0.0000044,4.4 ng/ml,-,51 h,2.125,430 ng•hr/ml,0.43,-,-,Drug Product Label,-,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/103949s5299lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Peginterferon+alfa-2b,2001,Melanoma,0.7 X 108 IU/mg protein
32,Pembrolizumab,Keytruda,PD-1 receptor,mAb: humanized IgG4 kappa,149000,2,mg/kg,IV,30 min,q. 3 wk,0.4409,4.41E-07,0.0657,65.7 ug/ml,0.17 d,26 d,26,1408 ug•day/ml,58.7,0.22 L/day,7.66 L,FDA BLA 125514: Clinical Pharmacology and Biopharmaceutics Review,-,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/125514Orig1s000ClinPharmR.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Pembrolizumab,2014,"Melanoma, metastatic;  metastatic non-small cell lung cancer (NSCLC); Head and neck squamous cell carcinoma",
33,Pertuzumab,Perjeta,HER2,mAb: humanized  mAb,148000,420,mg,IV,30-60 min,q. 3 wk,1.01351,1.01E-06,0.15,150 ug/ml,-,19.1 d,19.1,2762 ug•hr/ml,2762,169 mL/d,4233 mL,Drugs 2012; 72 (3): 353-360,http://www.ncbi.nlm.nih.gov/pubmed/22316351,http://link.springer.com/article/10.2165%2F11209000-000000000-00000,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Pertuzumab,2012,Breast: Metastatic (MBC),"Recommended loading dose of 820 mg over 1 h, yielding Cmax of 255 ug/ml.   For use in combination with trastuzumab and docetaxel for the neoadjuvant treatment of patients with HER2-positive, locally advanced, inflammatory or early-stage breast cancer (either greater than 2 cm in diameter or node positive) as part of a complete treatment regimen for early breast cancer."
34,Ramucirumab,Cyramza,VEGFR-2,mAb: human IgG1,147000,8,mg/kg,IV,60 min,q. 2 wk,1.16327,1.16E-06,0.171,171 ug/ml,-,181 h,7.54,"18,300 ug•hr/ml",18300,0.43 ml/hr/kg,97.1 ml/kg,FDA BLA 125477: Clinical Pharmacology and Biopharmaceutics Review,-,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/125477Orig1s000ClinPharmR.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Ramucirumab,2014,Gastric; metastatic non-small cell lung cancer (NSCLC);  metastatic colorectal cancer,"PK data from Study JVBW in Japanese patients; exposure may be lower in non-Japanese patients
gastro-esophageal junction adenocarcinoma"
35,Rasburicase,Elitek,uric acid,Enzyme: rec urate oxidase,34109,0.2,mg/kg,IV,30 min,q.d. X5,0.11375,1.14E-07,0.00388,3880 ng/ml,-,21.1 h,0.879,"45,200 ng•hr/ml",45.2,-,-,J Clin Oncol 19:697-704  2001,http://www.ncbi.nlm.nih.gov/pubmed/11157020,http://jco.ascopubs.org/content/19/3/697.long,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Rasburicase,2002,"Leukemia, lymphoma, and solid tumor malignancies:  management of plasma uric acid levels in pediatric and adult patients with leukemia, lymphoma, and solid tumor malignancies who are receiving anti-cancer therapy expected to result in tumor lysis and subsequent elevation of plasma uric acid.",
36,Rituximab,Rituxan ,CD20,mAb: human-mouse chimeric mAb,143860,375,mg/m2,IV,see label,q. wkX4,3.22397,3.22E-06,0.4638,463.8 ug/ml,-,-,-,-,-,-,-,"Ann Oncol 2003, 14(5): 758",http://www.ncbi.nlm.nih.gov/pubmed/12702531,http://annonc.oxfordjournals.org/content/14/5/758.long,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Rituximab,1997,"Lymphoma: Non–Hodgkin's Lymphoma (NHL), Chronic Lymphocytic Leukemia (CLL), Rheumatoid Arthritis (RA), Granulomatosis with Polyangiitis (GPA) (Wegener's Granulomatosis) and Microscopic Polyangiitis (MPA)",value represents plasma level after 4th dose of 2nd course
37,Romiplostim,Nplate,thrombopoietin receptor agonist,fusion: human IgG1 Fc domain/TPO binding domains ,59000,1,ug/kg,IV,bolus,q. 1 wk,0.00022,2.19E-10,0.0000129,12.9 ng/ml,-,2.4 h,0.1,26700 pg•hr/ml,0.0267,63 ml.h/kg,78.8 ml/kg,Clin Pharmacol Ther 2004;76: 628-38,http://www.ncbi.nlm.nih.gov/pubmed/15592334,http://onlinelibrary.wiley.com/doi/10.1016/j.clpt.2004.08.010/abstract,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Romiplostim,2008,"Thrombocytopenia: treatment of thrombocytopenia in patients with chronic immune thrombocytopenia (ITP) who have had an insufficient response to corticosteroids, immunoglobulins or splenectomy.",
38,Siltuximab,Sylvant,IL-6,mAb: human-mouse chimeric mAb,145000,11,mg/kg,IV,60 min,q. 3 wk,2.28966,2.29E-06,0.332,332 ug/ml,-,20.6 d,20.6,-,-,0.23 L/d,64 ml/kg,Drug Product Label,-,http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/125496s000lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Siltuximab,2014,multicentric Castleman's disease (MCD) ,
39,Thyrotropin alfa,Thyrogen,TSH agonist,rec human protein,23700,0.9,mg,IM,-,-,0.00122,1.22E-09,0.000029,116 mU/L,10 h,25 h,1.04,-,-,-,-,Drug Product Label,-,http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/020898s054lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Thyrogen,1998,"Thyroid Cancer: Adjunctive Diagnostic Tool for Serum Thyroglobulin Testing in Well Differentiated Thyroid Cancer,  Adjunct to Treatment for Ablation in Well Differentiated Thyroid Cancer",specific activity 4 IU/mg
40,Trastuzumab,Herceptin ,HER2 (ErbB2),mAb: human-mouse chimeric mAb,145531,6,mg/kg,IV,90 min,"see label, notes",1.48422,1.48E-06,0.216,216 ug/ml,-,288 h,12,-,-,-,44 ml/kg,Drug Product Label,-,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/103792s5327lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=HERCEPTIN,1998,"Breast: Metastatic; Gastric Cancer, Metastatic",dosing: 8 mg/kg followed by 6 mg/kg q.3 wk. Single 500 mg dose gave 377 ug/ml.
41,Ziv-Aflibercept,Zaltrap,VEGF,mAb: fusion of  VEGFR1/VEGFR2/Fc,96900,4,mg/kg,IV,1 h,q. 2 wk,1.00516,1.01E-06,0.0974,97.4 ug/ml,-,5.5 d,5.5,293 ug•day/ml,12.2,1.1 L/d,7.88 L,"J Clin Oncol 2010, 28(2): 207",http://www.ncbi.nlm.nih.gov/pubmed/19949018,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2815710/,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Ziv-Aflibercept,2012,Colorectal ,"soluble VEGF decoy receptor;   approved 08.03.12 for use in combination with a FOLFIRI (folinic acid, fluorouracil and irinotecan) chemotherapy regimen to treat adults with colorectal cancer"
