sort code,Generic Name,Brand Name,MOA/Target,"MW (free base/acid, no hydrate)",Dose,Dose Unit,Route,infusion,dose schedule,Cmax (uM),Cmax (mol/liter),Cmax (g/l),Cmax (ng/ml),Cmax (mg/l),Cmax (raw units),Tmax   hr,T1/2        hr,AUC  (raw units),AUC   (ng•hr/ml),Cl,Vd,Protein binding,"Css, ave",Initial U.S. approval,Reference,pubmed link,Reference URL,Drug Product Label URL,Cancer Indication,Notes,unit list,route list
1,Abarelix,Plenaxis,GnRH antagonist,1416,100,mg,IM,-,q 2 wk X2; q 4 wk,0.031,3.06E-08,0.0000434,43.4,0.0434,43.4 ng/ml,72,316.8,500 ng•day/ml,12000,208 L/day,4040 L,96-99%,,2003,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2003/21320_plenaxis_lbl.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2003/21320_plenaxis_lbl.pdf,Prostate ,Only physicians who have enrolled in the Plenaxis™ User Safety Program may prescribe Plenaxis™,,
4,Afatinib,Gilotrif,"Kinase inhibitor (Tyrosine): EGFR, HER2, HER4",486,40,mg,PO,-,qd,0.052,5.19E-08,0.0000252,25,0.025,25.2 ng/ml,4,26.9,324 ng•hr/ml,324,952 ml/min,2220 L,95%,,2013,"Clin Pharmacokinet 2013, 52(12):1101-9",http://www.ncbi.nlm.nih.gov/pubmed/23813493,http://link.springer.com/article/10.1007%2Fs40262-013-0091-4,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Afatinib,Lung (NSCLC):  non-small cell lung cancer (metastatic) with EGFR exon 19 deletions or exon 21 (L858R) substitution mutations,"irreversible inhibitor.  FDA approved afatinib (Gilotrif tablets, Boehringer Ingelheim Pharmaceuticals, Inc.), for the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test.  The safety and efficacy of afatinib have not been established in patients whose tumors have other EGFR mutations.  Concurrent with this action, FDA approved the therascreen EGFR RGQ PCR Kit (QIAGEN) for detection of EGFR exon 19 deletions or exon 21 (L858R) substitution mutations.  July 12, 2013 More Information: http://www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm360574.htm",mg/m2,Intra Cisternal
5,Alectinib ,Alecensa,"Kinase inhibitor (Tyrosine): ALK, RET",483,600,mg,PO,-,BID,1.38,1.38E-06,0.000665,665,0.67,665 ng/ml,4,33,7430  ng•hr/ml,7430,81.9 L/h,4016 L,>99%,,2015,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/208434s000lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Alectinib,"Lung (NSCLC):  non-small cell lung cancer (metastatic), ALK-positive",,mg/kg/day,
6,Alfuzosin  ,UroXatral,Alpha1 Antagonist,389,10,mg,PO,-,qd,0.035,3.49E-08,0.0000136,14,0.014,13.6 ng/ml,8,10,194 ng•hr/ml,194,-,3.2 L/kg,82-90%,,2003,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/021287s017lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Alfuzosin,not approved for cancer indications.  Prostate: benign prostatic hyperplasia,not approved for cancer indications: indicated for the treatment of signs and symptoms of benign prostatic hyperplasia,mg/kg,IV
7,Allopurinol,Zyloprim,Nucleoside/Antimetab: Xanthine Oxidase Inhibitor,136,300,mg,PO,-,qd,14.3,1.43E-05,0.00194,1940,1.9,1936 ng/ml,1.4,1.4,4814 ng•hr/ml,4814,-,-,negligible,,1966,"J Clin Pharm Ther 2001, 26(2): 113",http://www.ncbi.nlm.nih.gov/pubmed/11350534,http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2710.2001.00329.x/epdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Allopurinol,"Leukemia, lymphoma and malignancies: management of patients who are receiving cancer therapy which causes elevations of serum and urinary uric acid levels.","xanthine oxidase inhibitor indicated for management of patients with leukemia, lymphoma and malignancies who are receiving cancer therapy which causes elevations of serum and urinary uric acid levels.  Active metabolite oxipurinol (alloxanthine),  also is an inhibitor of xanthine oxidase, with Cmax of 6.5 ug/ml and T1/2 of 15 hours.",units/m2,PO
8,Altretamine,Hexalen,Alkylating/DNA damage,210,200,mg,PO,-,-,3.76,3.76E-06,0.00079,790,0.79,790 ng/ml,0.5-3,4.7- 10.2,-,-,-,-,94%,,1990,Pharm Weekbl Sci 1989; 11:218-223,http://www.ncbi.nlm.nih.gov/pubmed/2515524,http://link.springer.com/article/10.1007/BF01959414,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Altretamine,Ovarian:  following first-line therapy with a cisplatin and/or alkylating agent-based combination.,Cmax varies widely with formulation; Hexalen @ 200 mg po gave 277 ng/ml,,IM
9,Amifostine,Ethyol,Chemoprotective: ROS Scavenger,214,200,mg/m2,IV,7.5 min,-,105,1.05E-04,0.022471678,22472,22,104.9 umol/L,-,0.26,1187 umol•min/L,4238,1.48 L/min,-,negligible,,1995,"J Clin Pharmacol 2002, 42(2): 166",http://www.ncbi.nlm.nih.gov/pubmed/11831539,http://onlinelibrary.wiley.com/doi/10.1177/00912700222011201/abstract;jsessionid=E3477B211E5A7D1158278B2FFD2A0F55.f03t01,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Amifostine,Ovarian: reduce the cumulative renal toxicity associated with repeated administration of cisplatin in patients with advanced ovarian cancer.,Indicated to reduce the cumulative renal toxicity associated with repeated administration of cisplatin in patients with advanced ovarian cancer.  Less than 10% of parent remains in the plasma 6 minutes after drug administration. Parent is rapidly metabolized by alkaline phosphatase to an active free thiol metabolite (WR-1065).,,
10,Aminoglutethimide,Cytadren,Steroid metabolism: Pregnenolone synthesis inhibitor (P450scc; CYP11A1),232,500,mg,PO,-,-,25.4,2.54E-05,0.0059,5900,5.9,5.9 ug/ml,1.5,12.5,-,-,-,-,21-25%,,1980,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2003/018202s021lbl.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2003/018202s021lbl.pdf,not approved for cancer indications; approved for Cushing's syndrome,not approved for cancer indications.  Discontinued,,
11,Aminolevulinic Acid  ,Levulan Kerastick,Photosensitizer,131,100,mg,IV*,1 min,-,129,1.29E-04,0.0169,16900,17,16.9 ug/ml,-,0.83,13.7 ug•hr/ml,13700,7.8 L/h,9.3 L,-,,1999,"J Pharmacol Exp Ther 2002, 301(2): 507",http://www.ncbi.nlm.nih.gov/pubmed/11961050,http://jpet.aspetjournals.org/content/301/2/507.full.pdf+html,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Aminolevulinic,Actinic Keratosis of the face or scalp (Topical),"Approved only for topical administration, used in conjunction with photodynamic illumination; systemic exposure is undetectable following topical administration.  For bladder cancer, intravesiclular delivery of a dose of 1.33 grams gave 5.35 mg/ml urine, diluted by urine from target concentration of 24 mg/ml.  Oral admin: 100 mg p.o. gave Cmax of 4.6 ug/ml.",,
12,Anastrozole  ,Arimidex ,Steroid metabolism: Aromatase Inhibitor,293,1,mg,PO,-,qd,0.035,3.48E-08,0.0000102,10,0.01,10.2 ng/ml,-,41.3,536 ng•hr/ml,536,-,-,40%,,1995,"J Pharm Biomed Anal 2008, 48(3): 853",http://www.ncbi.nlm.nih.gov/pubmed/18657375,http://www.sciencedirect.com/science/article/pii/S0731708508003518,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Anastrozole,Breast:   locally advanced or metastatic;   hormone receptor-positive early breast cancer.,"Anastrozole mean steady-state minimum plasma concentrations in Caucasian and Japanese postmenopausal women who received 1 mg of anastrozole daily for 16 days were 25.7 and 30.4 ng/mL, respectively.",,
13,Arsenic Trioxide  ,Trisenox ,not defined; Apoptosis Inducer,198,0.1,mg/kg,IV,2 h,-,0.91,9.10E-07,0.00018,180,0.18,0.18 ug/ml,-,-,see notes,see notes,-,562 L,75%,,2000,"Blood 2001, 98(2): 266-271;  also see Blood 1996, 88(3): 1052; and Drug Product Label",http://www.ncbi.nlm.nih.gov/pubmed/11435292,http://www.bloodjournal.org/content/98/2/266.long?sso-checked=true,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Trisenox,"Leukemia: acute promyelocytic leukemia (APL) refractory to  retinoid and anthracycline chemotherapy, and whose APL is characterized by the presence of the t(15;17) translocation or PML/RAR-alpha gene expression.","Immediately hydrolyzed to arsenious acid (AsIII)., the pharmacologically active species of arsenic trioxide.  Following once daily doses of 0.15 mg/k, the daily exposure to AsIII (mean AUC0-24) was 194 ng·hr/mL (n=5) on Day 1 of Cycle 1 and 332 ng·hr/mL (n=6) on Day 25 of Cycle 1, which represents an approximate 2-fold accumulation.",,
14,Axitinib,Inlyta,"Kinase inhibitor (Tyrosine): VEGFR, PDGFR",386,5,mg,PO,-,BID,0.163,1.63E-07,0.000063,63,0.063,63 ng/ml,1.8,3.1,466 ng•hr/ml,466,43 L/h,182 L,>99%,,2012,"J Clin Oncol 2005, 23(24): 5474",http://www.ncbi.nlm.nih.gov/pubmed/16027439,http://jco.ascopubs.org/content/23/24/5474.long,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Axitinib,Kidney: renal cell carcinoma (RCC) after failure of one prior systemic therapy, data reported following 29 days of dosing,,
15,Azacitidine  ,Vidaza,Nucleoside/Antimetab: DNA Methyltransferase (DNMT) Inhibitor;  demethylating agent,244,75,mg/m2,SC,-,qd X 7,3.07,3.07E-06,0.00075,750,0.75,750 ng/ml,0.5,0.68,960 ng•hr/ml,960,167 L/h,76 L,-,0.000038495,2004,"Drug Product Label; FDA NDA 50-794 Clinical Pharmacology and Biopharmaceutics Review; see also J Clin Pharmacol 2005, 45(5): 597",http://www.ncbi.nlm.nih.gov/pubmed/15831784,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/50-794_Vidaza_BioPharmr.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Azacitidine,"Myelodysplastic Syndromes (MDS):  French-American-British (FAB) myelodysplastic syndrome subtypes: refractory anemia (RA) or refractory anemia with ringed sideroblasts (if accompanied by neutropenia or thrombocytopenia or requiring transfusions), refractory anemia with excess blasts (RAEB), refractory anemia with excess blasts in transformation (RAEB-T), and chronic myelomonocytic leukemia (CMMoL).",IV Cmax was 2750 ng/ml;  AUC similar to SC; F= 89%,,
16,Azacitidine  ,Vidaza,Nucleoside/Antimetab: DNA Methyltransferase (DNMT) Inhibitor;  demethylating agent,244,75,mg/m2,IV,10-40 min,qd X 7,11.3,1.13E-05,0.00275,2750,2.8,2750 ng/ml,-,0.36,1044 ng•hr/ml,1044,146 L/h,76 L,-,0.000038495,2004,"Drug Product Label; FDA NDA 50-794 Clinical Pharmacology and Biopharmaceutics Review; see also J Clin Pharmacol 2005, 45(5): 597",http://www.ncbi.nlm.nih.gov/pubmed/15831784,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/50-794_Vidaza_BioPharmr.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Azacitidine,"Myelodysplastic Syndromes (MDS):  French-American-British (FAB) myelodysplastic syndrome subtypes: refractory anemia (RA) or refractory anemia with ringed sideroblasts (if accompanied by neutropenia or thrombocytopenia or requiring transfusions), refractory anemia with excess blasts (RAEB), refractory anemia with excess blasts in transformation (RAEB-T), and chronic myelomonocytic leukemia (CMMoL).",IV dose,,
17,Belinostat,Beleodaq,HDAC inhibitor,318,1000,mg/m2,IV,30 min,qd X 5 X 3 wk,134,1.34E-04,0.042657,42657,43,42657 ng/ml,-,1,29005 ng•hr/ml,29005,37.6 L/h/m2,16.5 L/m2,94%,,2014,FDA NDA 206256: Clinical Pharmacology and Biopharmaceutics Review,n/a,www.accessdata.fda.gov/drugsatfda_docs/nda/2014/206256Orig1s000ClinPharmR.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Belinostat,Lymphoma: peripheral T-cell lymphoma (PTCL): relapsed or refractory,,,
18,Bendamustine   ,Treanda ,Alkylating/DNA damage,358,120,mg/m2,IV, 60 min,-,16.3,1.63E-05,0.00584,5840,5.8,5839 ng/ml,-,0.7,13635 ng•hr/ml,13635,31.7 L/h,40 L,94-96%,,2008,"Cancer Chemother Pharmacol 2010, 66(6): 1039",http://www.ncbi.nlm.nih.gov/pubmed/20140617,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2956859/,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Bendamustine,Leukemia: Chronic Lymphocytic Leukemia (CLL);  Non-Hodgkin Lymphoma (NHL),,,
19,Bexarotene  ,Targretin ,RXR agonist,348,300,mg/m2,PO,-,-,3.39,3.39E-06,0.00118,1180,1.2,1182 ng/ml,2.5,3.4,5980 ng•hr/ml,5980,-,-,>99%,,1999,"J Clin Oncol 2001, 19(9): 2456",http://www.ncbi.nlm.nih.gov/pubmed/11331325,http://jco.ascopubs.org/content/19/9/2456.long,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Bexarotene,Lymphoma: cutaneous T-cell lymphoma,,,
20,Bicalutamide,Casodex,Androgen Receptor Antagonist,430,50,mg,PO,-,qd,1.78,1.78E-06,0.000768,768,0.77,0.768 ug/ml,31,139,230838 ug•hr/L,230838,0.32 L/h,-,96%,,1995,"Drug Product Label; AUC from Clin Ther. 2009, 31:3000–3008",http://www.ncbi.nlm.nih.gov/pubmed/20110037,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/020498s025lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Bicalutamide,"Prostate: metastatic carcinoma of the prostate, in combination with a luteinizing hormone-releasing hormone (LHRH) analog for the treatment of Stage D2.",combo with LHRH antagonist,,
21,Bleomycin,Blenoxane,DNA synthesis inhibitor,1416,15,mg/m2,IV,bolus,-,706,7.06E-04,1,1000000,1000,1 mg/mL,-,4,299.5 mg•min/ml,4.99E+06,50.5 ml/min/m2,17.5 L/m2,1%,,1973,"Cancer Chemother. Pharmacol. 1, 177-181 (1978)",http://www.ncbi.nlm.nih.gov/pubmed/86392,http://link.springer.com/article/10.1007/BF00253118,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Bleomycin,"Squamous Cell Carcinoma (Head and neck);  Lymphomas (Hodgkin's Disease, non-Hodgkin's lymphoma);   Testicular Carcinoma; Malignant Pleural Effusion","value from graphic, estimated to C0; 1 unit = 1 mg ",,
22,Bortezomib  ,Velcade ,Proteosome inhibitor,384,1.3,mg/m2,IV,bolus,2x/wk x 2 wk,0.312,3.12E-07,0.00012,120,0.12,120 ng/ml,0.08,48.7,196 ng•hr/ml,196,25.9 L/h,1465 L,83%,5.29E-06,2003,"Clin Pharmacokin 2009, 48(3): 199",http://www.ncbi.nlm.nih.gov/pubmed/19385713,http://link.springer.com/article/10.2165%2F00003088-200948030-00006,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Bortezomib,Multiple Myeloma; Mantle Cell Lymphoma,Data are for Day 8,,
23,Bosutinib,Bosulif,"Kinase inhibitor (Tyrosine): BCR-Abl, Src",530,500,mg,PO,-,qd,0.377,3.77E-07,0.0002,200,0.2,200 ng/ml,6-Apr,22.5,3650 ng•hr/ml,3650,189 L/h,6080 L,96%,,2012,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/203341s003lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Bosutinib,"Leukemia: chronic myelogenous leukemia:   chronic, accelerated, or blast phase Philadelphia chromosome-positive (Ph+) CML with resistance or intolerance to prior therapy.",,,
24,Busulfan,Busulflex,Alkylating/DNA damage,246,0.8,mg/kg,IV,2 h,q. 6 h,4.96,4.96E-06,0.001222,1222,1.2,1222 ng/ml,-,-,1167 umol•min/L,4790,2.52 ml/min/kg,0.64 L/kg,32%,8.10E-07,1954,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/020954s014lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Busulfan,Leukemia: chronic myelogenous leukemia:  for use in combination with cyclophosphamide as a conditioning regimen prior to allogeneic hematopoietic progenitor cell transplantation., *protein binding is irreversible,,
25,Cabazitaxel  ,Jevtana ,Tubulin: microtubule stabilizing,836,25,mg/m2,IV,1 h,q. 3 wk,0.27,2.70E-07,0.000226,226,0.23,226 ng/ml,1,95,991 ng•hr/ml,991,48.5 L/h,4864 L,89-92%,,2010,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/201023s015lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Cabazitaxel,Prostate:  in combination with prednisone for the treatment of hormone-refractory metastatic prostate cancer previously treated with a docetaxel-containing treatment regimen.,,,
26,Cabozantinib,Cometriq,"Kinase inhibitor (Tyrosine): c-MET, VEGFR2, RET",502,140,mg,PO,-,qd,4.61,4.61E-06,0.00231,2310,2.3,2310 ng/ml,5-Feb,55,41.6 ug•hr/ml,41600,4.4 L/h,349 L,99.70%,,2012,J Clin Oncol. 2011 Jul 1;29(19):2660-6; Drug Product Label,http://www.ncbi.nlm.nih.gov/pubmed/21606412,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3646303/,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Cabozantinib,"Thyroid: medullary thyroid cancer (progressive, metastatic); Kidney: advanced renal cell carcinoma","XL-184; approved 11.30.12 Data are for MTD (175 mg); Recommended dose is 140 mg.  Accumulation of 4-5X (AUC) on repeated dosing.  MTD=175 mg; data given for multiple dosing (day 19);  single dose(175 mg PO) Cmax=544 ng/ml, AUC=7.7 ug.h/ml",,
27,Capecitabine  ,Xeloda ,Nucleoside/Antimetab: Pyrimidine antagonist,359,1250,mg/m2,PO,-,BID,21.1,2.11E-05,0.00757,7570,7.6,7.57 ug/ml,0.82,0.43,507 ug•min/ml,8450,5.55 L/min,217 L,approx 35%,,1998,"Cancer Chemother Pharmacol 2011, 67(3): 613",http://www.ncbi.nlm.nih.gov/pubmed/20495919,http://link.springer.com/article/10.1007%2Fs00280-010-1363-4,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Capecitabine,"Colon: colorectal Cancer,  Breast Cancer",5-FU prodrug.  Total protein binding of parent and metabolites is less than 60%; parent binding to albumin is approx. 35%,,
28,Carboplatin  ,Paraplatin,Alkylating/DNA damage,371,400,mg/m2,IV,30 min,-,135,1.35E-04,0.05,50000,50,50 ug/ml,0.5,3,4-6 mg•min/ml**,83333,4.4 L/h,16 L,0%,,1989,"Cancer Chemother Pharmacol 1988, 22(3): 263",http://www.ncbi.nlm.nih.gov/pubmed/3044634,http://link.springer.com/article/10.1007/BF00273422,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Carboplatin,Ovarian: Ovarian Carcinoma,"** AUC given is target AUC for carboplatin as single agent;  parent is not bound to plasma protein, but released platinum binds irreversibly",,
29,Carfilzomib,Kyprolis,Proteosome inhibitor  ,720,27,mg/m2,IV,5 min,-,5.88,5.88E-06,0.004232,4232,4.2,4232 ng/ml,-,< 1,379 ng•hr/ml,379,151-263 L/h,28 L,97%,,2012,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/202714s009lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Carfilzomib,Multiple Myeloma,"ONO-7057, PR-171; approved in USA 07.21.12",,
30,Carmustine  ,BiCNU,Alkylating/DNA damage,214,600,mg/m2,IV,2 h,-,19.4,1.94E-05,0.00415,4150,4.2,4.15 ug/mL,-,-,-,-,-,-,80%,,1977,Clin Cancer Res. 2002 Mar;8(3):698-705.,http://www.ncbi.nlm.nih.gov/pubmed/11895898,http://clincancerres.aacrjournals.org/content/8/3/698.long,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Carmustine,"Brain:  glioblastoma, brainstem glioma, medulloblastoma, astrocytoma, ependymoma, and metastatic brain tumors; Multiple myeloma, in combination with prednisone;  Hodgkin’s disease (as secondary therapy in combination with other approved drugs);  Non-Hodgkin’s lymphomas (as secondary therapy in combination with other approved drugs)",600 mg/m2: 4.15 mg/L graphically. Recommended dose is 150-200 mg/m2 IV,,
31,Celecoxib,Celebrex,COX-2 inhibitor,381,400,mg,PO,-,BID,4.6,4.60E-06,0.001752,1752,1.8,1752 ng/ml,-,8.8,13049 ng•hr/ml,13049,25.1 L/h,-,97%,0.000543708,1998,"Neuro Oncol 2008, 10(2): 190",http://www.ncbi.nlm.nih.gov/pubmed/18287342,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2613821/,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Celecoxib,not approved for cancer indications,"not approved for cancer indications. At recommended anti-inflammatory dose (200 mg PO), Cmax= 705 ng/ml, Tmax= 2.8 h, T1/2= 11.2 h, Vss/F=429 L, Cl/F= 27.7 L/h",,
